"DateTime","Players","Average Players"
"2025-01-02 02:00:00",396407,284199
"2025-01-02 03:00:00",396031,287853
"2025-01-02 04:00:00",383936,291145
"2025-01-02 05:00:00",352147,293737
"2025-01-02 06:00:00",306704,294954
"2025-01-02 07:00:00",258604,294912
"2025-01-02 08:00:00",216814,294418
"2025-01-02 09:00:00",181878,293632
"2025-01-02 10:00:00",161929,292990
"2025-01-02 11:00:00",162924,292845
"2025-01-02 12:00:00",180874,292867
"2025-01-02 13:00:00",204337,292904
"2025-01-02 14:00:00",221816,292876
"2025-01-02 15:00:00",232461,292826
"2025-01-02 16:00:00",239641,292609
"2025-01-02 17:00:00",255008,292143
"2025-01-02 18:00:00",274847,291333
"2025-01-02 19:00:00",298741,290135
"2025-01-02 20:00:00",322530,288838
"2025-01-02 21:00:00",335414,287586
"2025-01-02 22:00:00",337842,286446
"2025-01-02 22:30:00",337045,
"2025-01-02 22:40:00",336888,
"2025-01-02 22:50:00",337842,
"2025-01-02 23:00:00",337631,285456
"2025-01-02 23:10:00",309472,
"2025-01-02 23:20:00",333020,
"2025-01-02 23:30:00",334550,
"2025-01-02 23:40:00",335773,
"2025-01-02 23:50:00",337328,
"2025-01-03 00:00:00",337959,284896
"2025-01-03 00:10:00",338534,
"2025-01-03 00:20:00",340627,
"2025-01-03 00:30:00",343068,
"2025-01-03 00:40:00",346137,
"2025-01-03 00:50:00",350150,
"2025-01-03 01:00:00",353685,284646
"2025-01-03 01:10:00",358006,
"2025-01-03 01:20:00",362741,
"2025-01-03 01:30:00",367587,
"2025-01-03 01:40:00",372674,
"2025-01-03 01:50:00",377166,
"2025-01-03 02:00:00",380719,284625
"2025-01-03 02:10:00",384654,
"2025-01-03 02:20:00",386411,
"2025-01-03 02:30:00",391350,
"2025-01-03 02:40:00",393986,
"2025-01-03 02:50:00",395811,
"2025-01-03 03:00:00",396044,284718
"2025-01-03 03:10:00",395389,
"2025-01-03 03:20:00",395129,
"2025-01-03 03:30:00",394698,
"2025-01-03 03:40:00",393912,
"2025-01-03 03:50:00",392078,
"2025-01-03 04:00:00",389392,285136
